Issue Number,Title,Assignees,Type,Area,Priority,Initiative,Version,Size,Estimate,Time Spent,Reporting Date,External Reference,Comments
1327,"EPIC - Webapp for data-index, job-service deployments and workflows endpoint",fantonangeli,,Tooling,Major,OSL,10.1.0 Apache,L,9.9,10.0,2026-03-25,,
3466,[serverless-logic-web-tools] normal deployment Data Index not available,fantonangeli,,Tooling,Major,Apache,10.1.0 Apache,S,0.2,0.1,2026-03-25,,
3496,[sonataflow-operator] Ensure DB Mibrator Job is executed when upgrading the operator from version N to N+1,wmedvede,,Cloud,Blocker,OSL,1.38.0 OSL,M,0.8,8.0,2026-03-24,SRVLOGIC-865,
3471,[sonataflow-operator] Implement nativelly PDB support for SonataFlow workflows and Data Index service deployments,wmedvede,,Cloud,Major,OSL,1.38.0 OSL,,2.6,2.6,2026-03-20,,
3507,[sonataflow-operator] Epic: Implement nativelly PDB support for SonataFlow workflows and Data Index service deployments,wmedvede,,Cloud,Major,OSL,1.38.0 OSL,,2.6,2.6,2026-03-20,SRVLOGIC-769,
1329,EPIC - Refactor kn workflow CLI to use client-go instead of `kubectl` subshell calls,treblereel,,Runtimes,Normal,Apache,10.0.0 Apache,,2.0,2.0,2026-03-19,,
405,Add external built image integrity validation,treblereel,,Runtimes,Normal,Apache,Future,L,4.0,4.0,2026-03-19,,"WON'T DO. We’re not going to merge this anymore, it’s no longer needed."
1063,EPIC - Add theme support to UI components and improve user experience with themes,handreyrc,,Tooling,Minor,OSL,1.38.0 OSL,M,3.0,3.0,2026-03-18,,
1128,SWF-Editor: Research React Flow render library,handreyrc,,Tooling,Minor,Backstage,1.38.0 OSL,M,1.0,1.0,2026-03-18,,
2041,[sonataflow] Implement a getting started example for operator use case,domhanak,,Docs,Major,Apache,10.0.0 Apache,M,0.6,0.7,2026-03-18,,
2050,[10.0.0] Missing examples for 10.0.0 release,domhanak,,Docs,Blocker,Apache,10.0.0 Apache,L,4.0,4.0,2026-03-18,,
221,Add an implementation reference to the DSL 1.0.0,ricardozanini,,Cloud,Normal,CNCF Spec,Future,XL,8.0,8.0,2026-03-18,,
222,Implement a simple data flow and JQ expression processing,ricardozanini,,Cloud,Normal,CNCF Spec,Future,M,2.0,2.0,2026-03-18,,
223,Add Run Container to the reference implementation,ricardozanini,,Cloud,Normal,CNCF Spec,Future,L,2.0,2.0,2026-03-18,,
2254,Restoring `LiveReloadProcessorTest`,fjtirado,,Runtimes,Major,Apache,10.1.0 Apache,S,0.2,0.2,2026-03-18,,
