Issue Number,Parent Issue,Issue URL,Title,Assignees,Type,Area,Priority,Initiative,Target Milestone,Size,Estimate,Time Spent,Reporting Date,External Reference,Comments
3,,https://github.com/tkobayas/drlx-lsp/issues/3,Add completion tests for new drlx-parser constructs,tkobayas,,Tooling,Major,,Future,S,0.2,0.2,2026-07-04,,
457,,https://github.com/casehubio/engine/issues/457,feat(acl): extend case definition YAML schema with authorization section,treblereel,,Runtimes,Normal,,Future,M,0.6,0.6,2026-07-04,,
6765,,https://github.com/apache/incubator-kie-drools/issues/6765,Revisit removeDormantTuple issue,tkobayas,,Runtimes,Major,,Future,M,0.8,0.8,2026-07-02,,
19,,https://github.com/pibizza/drools-journal/issues/19,Refactor JournalStorage write API to semantic methods,pibizza,,Runtimes,Normal,,Future,S,0.4,0.1,2026-06-25,,
22,,https://github.com/pibizza/drools-journal/issues/22,ObjectStorageStrategy should return Payload directly instead of StorageDecision,pibizza,,Runtimes,Normal,,Future,S,0.2,0.1,2026-06-25,,
18,,https://github.com/pibizza/drools-journal/issues/18,Resolve storage-page vs compaction-page divergence before Chronicle size-based rolling,pibizza,,Runtimes,Normal,,Future,S,0.2,0.1,2026-06-25,,
20,,https://github.com/pibizza/drools-journal/issues/20,Simplify journalling: replace JournalledObjectStore/NamedEntryPoint with a RuleRuntimeEventListener,pibizza,,Runtimes,Normal,,Future,S,0.3,0.1,2026-06-25,,
21,,https://github.com/pibizza/drools-journal/issues/21,Replace ThreadLocal<JournalStorage> hack with per-thread factory delegation,pibizza,,Runtimes,Normal,,Future,S,0.2,0.1,2026-06-25,,
23,,https://github.com/pibizza/drools-journal/issues/23,Standardize integration test naming convention across JournalledKieSessionTest,pibizza,,Runtimes,Normal,,Future,XS,0.1,0.1,2026-06-25,,
452,,https://github.com/casehubio/engine/issues/452,feat(acl): add ACL model types and SPI to platform-api,treblereel,,Runtimes,Normal,,Future,M,0.6,0.0,2026-06-24,,
453,,https://github.com/casehubio/engine/issues/453,feat(acl): add @DefaultBean no-op AccessControlProvider to platform/,treblereel,,Runtimes,Normal,,Future,M,0.6,0.0,2026-06-24,,
455,,https://github.com/casehubio/engine/issues/455,feat(acl): wire CurrentPrincipal identity into PropagationContext.inheritedAttributes,treblereel,,Runtimes,Normal,,Future,M,0.6,0.0,2026-06-24,,
333,,https://github.com/casehubio/engine/issues/333,dx: inputSchema/outputSchema use mini-DSL not JQ — inconsistent with rest of case definition,treblereel,,Runtimes,Normal,,Future,M,0.6,0.6,2026-06-19,,
79,,https://github.com/tkobayas/drlx-parser/issues/79,Conditional branching & named windows,tkobayas,,Runtimes,Normal,,Future,M,0.6,0.6,2026-06-17,,
2338,,https://github.com/apache/incubator-kie-issues/issues/2338,NPE in PhreakSubnetworkNotExistsNode.deleteRight for two subnetwork nots in STREAM mode,Rikkola,,Runtimes,Critical,,Future,S,1.0,1.0,2026-06-16,,
90,,https://github.com/tkobayas/drlx-parser/issues/90,Convert test cases from ksession to RuleUnitInstance,tkobayas,,QE,Normal,,Future,S,0.1,0.1,2026-06-12,,
78,,https://github.com/tkobayas/drlx-parser/issues/78,Rule metadata & syntax sugar,tkobayas,,Runtimes,Normal,,Future,M,0.6,0.6,2026-06-12,,
6706,,https://github.com/apache/incubator-kie-drools/issues/6706,Parallel Build of Inline Accumulate rules cause a build error,tkobayas,,Runtimes,Major,,Future,S,0.1,0.1,2026-06-11,,
207,,https://github.com/kiegroup/drools-ansible-rulebook-integration/issues/207,Review AbstractHAStateManager.DROOLS_VERSION in main,tkobayas,,QE,Major,,Future,XS,0.05,0.05,2026-06-10,,
2315,,https://github.com/apache/incubator-kie-issues/issues/2315,Quarkus AI,Rikkola,,Docs,Major,,Future,L,3.0,1.0,2026-06-10,,
169,,https://github.com/kiegroup/drools-ansible-rulebook-integration/issues/169,EDA : Add more load test for HA,tkobayas,,QE,Major,,Ansible EDA 2.7.x,M,0.4,0.4,2026-06-09,,
