Issue Number,Parent Issue,Issue URL,Title,Assignees,Status,Type,Area,Priority,Initiative,Target Milestone,Size,Estimate,Time Spent,Remaining Work,Σ Estimate,Σ Time Spent,Σ Remaining Work,External Reference,Comments
1517,,https://github.com/serverlessworkflow/sdk-java/issues/1517,NPE in TryExecutor when retry is configured without explicit backoff strategy,mcruzdev,In progress,,Runtimes,Blocker,,1.0,,0.2,,,,,,,
1516,720,https://github.com/serverlessworkflow/sdk-java/issues/1516,Replace `sulky-ulid` with `ulid-creator`,ricardozanini,In progress,,Runtimes,Blocker,,1.0,XS,0.1,,0.1,0.0,0.0,0.0,,
1515,720,https://github.com/serverlessworkflow/sdk-java/issues/1515,Move cron-utils dependency to a separated `scheduler` module,fjtirado,Backlog,,Runtimes,Blocker,,1.0,XS,,,,0.0,0.0,0.0,,
1489,,https://github.com/serverlessworkflow/sdk-java/issues/1489,[Experimental] Allow serialization of Workflows defined using Java,fjtirado,In progress,,Runtimes,Major,,2026/Q2,M,1.0,,0.4,0.6,0.0,0.4,,
1481,,https://github.com/serverlessworkflow/sdk-java/issues/1481,Add a context-propagation SPI to carry caller context,"mcruzdev,fjtirado",Backlog,,Runtimes,Blocker,,2026/Q2,L,0.4,,,0.4,0.0,0.0,,
723,717,https://github.com/quarkiverse/quarkus-flow/issues/723,docs: Document Quarkus Flow best practices,mcruzdev,In progress,,Runtimes,Major,,1.0,S,0.1,0.1,,,,,,
722,720,https://github.com/quarkiverse/quarkus-flow/issues/722,Migrate experimental modules from sdk-java to new dsl module,ricardozanini,Next,,Runtimes,Blocker,,1.0,L,1.0,0.0,1.0,,,,,
719,720,https://github.com/quarkiverse/quarkus-flow/issues/719,[Docs] Document jq expression security model and timeout best practices,"ricardozanini,nightcityblade",Next,,Runtimes,Blocker,,1.0,S,0.2,,0.2,,,,,
715,,https://github.com/quarkiverse/quarkus-flow/issues/715,bug: A2AClientAgent is an Agent but it is not treated as such,ricardozanini,In progress,,Runtimes,Major,,1.0,S,0.5,0.1,0.4,,,,,
714,,https://github.com/quarkiverse/quarkus-flow/issues/714,feat: DevServices configuring Kafka,,Backlog,,Runtimes,Minor,,1.0,S,0.4,,0.0,,,,,
671,,https://github.com/quarkiverse/quarkus-flow/issues/671,[OIDC] Phase 1: Introduce Token Propagation and Exchange through a new module (quarkus-flow-oidc module),mcruzdev,In progress,,Runtimes,Major,,2026/Q2,L,1.0,,0.5,1.0,0.0,0.5,,
633,606,https://github.com/quarkiverse/quarkus-flow/issues/633,[OIDC] Phase 0 — Validation & Proof of Concept,mcruzdev,In progress,,Runtimes,Normal,,2026/Q2,M,0.4,0.3,0.1,0.4,0.3,0.1,,
620,619,https://github.com/quarkiverse/quarkus-flow/issues/620,Create ADR for MCP Integration Design,ricardozanini,In progress,,Runtimes,Normal,,2026/Q2,M,0.2,,0.0,0.2,0.0,0.0,,
606,,https://github.com/quarkiverse/quarkus-flow/issues/606,Epic: OIDC Token Propagation and Exchange,mcruzdev,Next,,Runtimes,Major,,Future,XL,,,,1.4,1.1,0.1,,
576,,https://github.com/quarkiverse/quarkus-flow/issues/576,Avoid rely on quarkus-hibernate-orm-panache we should rely on quarkus-hibernate-orm,mcruzdev,Backlog,,Runtimes,,,2026/Q2,,,,,0.0,0.0,0.0,,WON'T FIX
538,,https://github.com/eiiches/jackson-jq/issues/538,Proposal: Pluggable Regex Engine for jackson-jq,,Backlog,,Runtimes,Normal,,1.0,L,1.0,,,,,,,
523,51,https://github.com/quarkiverse/quarkus-flow/issues/523,feat: Integrate Serverless Workflow Editor package into DevUI,fantonangeli,In review,,Tooling,Normal,,2026/Q2,M,0.8,,0.8,0.8,0.0,0.8,,
488,,https://github.com/quarkiverse/quarkus-flow/issues/488,task: Refactor docs module: Reorganize DSL examples and enable Maven test execution,domhanak,Backlog,,Docs,Major,,2026/Q2,M,0.6,,0.6,0.6,0.0,0.6,,
487,,https://github.com/quarkiverse/quarkus-flow/issues/487,docs: Expand Java DLS Cookbook with additional examples,domhanak,Backlog,,Docs,Major,,2026/Q2,M,0.6,,0.6,0.6,0.0,0.6,,
469,,https://github.com/quarkiverse/quarkus-flow/issues/469,feat: Test Framework for Workflow Event Assertions,mcruzdev,Next,,Runtimes,Normal,,2026/Q3,,1.6,0.6,,1.6,0.6,0.0,,
425,,https://github.com/quarkiverse/quarkus-flow/issues/425,docs: Improve docs module to execute tests during maven build,domhanak,Backlog,,Docs,Major,,2026/Q2,M,0.6,0.0,0.6,0.6,0.0,0.6,,
376,,https://github.com/quarkiverse/quarkus-flow/issues/376,Avoid hardcoding application URI in DevUIJsonRPCTest tests,mcruzdev,Next,,Runtimes,Major,,2026/Q2,M,1.0,,0.8,1.0,0.0,0.8,,
317,112,https://github.com/quarkiverse/quarkus-flow/issues/317,bug: jpa persistence exceptions in engine after heavy load,gmunozfe,In progress,,Runtimes,Major,,2026/Q2,M,0.4,,0.2,0.4,0.0,0.2,,
211,207,https://github.com/serverlessworkflow/editor/issues/211,Spike: Define IntelliSense user experience,cheryl7114,Backlog,,Tooling,Major,,2026/Q3,M,1.0,,1.0,1.0,0.0,1.0,,
209,207,https://github.com/serverlessworkflow/editor/issues/209,Spike: Decide on approach for language service,fantonangeli,Backlog,,Tooling,Major,,2026/Q3,M,0.4,,0.4,0.4,0.0,0.4,,
208,207,https://github.com/serverlessworkflow/editor/issues/208,Spike: Evaluate embedded code editor,,Backlog,,Tooling,Major,,2026/Q3,S,,,,0.0,0.0,0.0,,
197,6,https://github.com/serverlessworkflow/editor/issues/197,task: Write & publish blog post,lornakelly,Next,,Tooling,Major,,2026/Q3,S,0.2,,0.2,0.2,0.0,0.2,,
195,6,https://github.com/serverlessworkflow/editor/issues/195,feat: Review & improve documentation before release,handreyrc,In review,,Tooling,Normal,,2026/Q2,S,0.2,,0.0,0.2,0.0,0.0,,
193,190,https://github.com/serverlessworkflow/editor/issues/193,task: Break down accepted ADR into estimated tickets,lornakelly,In progress,,Tooling,Major,,2026/Q3,M,0.6,,0.0,0.6,0.0,0.0,,
190,,https://github.com/serverlessworkflow/editor/issues/190,Epic: Serverless Workflow Editor Post MVP Planning,lornakelly,In progress,,Tooling,Major,,2026/Q3,M,0.0,0.0,0.0,1.1,0.5,0.0,,
156,3,https://github.com/serverlessworkflow/editor/issues/156,bug: Unpinned tag for a non-immutable Action in workflow,fantonangeli,In review,,Tooling,Major,,2026/Q2,S,0.2,,0.2,0.2,0.0,0.2,,
143,5,https://github.com/serverlessworkflow/editor/issues/143,feat: Styling tweaks and visual refinements,lornakelly,In progress,,Tooling,Normal,,2026/Q2,M,0.4,0.2,0.0,0.4,0.1,0.3,,Rough estimate
128,5,https://github.com/serverlessworkflow/editor/issues/128,feat: Implement tooltip on custom call type,kumaradityaraj,In review,,Tooling,Normal,,2026/Q2,M,0.4,,0.4,0.4,0.0,0.4,,
116,,https://github.com/quarkiverse/quarkus-flow/issues/116,epic: Introduce curated Camel connector catalog for Quarkus Flow,ricardozanini,Backlog,,Runtimes,Minor,,1.0,,,,,0.0,0.0,0.0,,
114,,https://github.com/quarkiverse/quarkus-flow/issues/114,feat: OpenTelemetry tracing support for Quarkus Flow,wmedvede,In progress,,Runtimes,Major,,2026/Q2,M,6.0,4.0,2.0,6.0,4.0,2.0,,
112,,https://github.com/quarkiverse/quarkus-flow/issues/112,epic: Benchmark and Load Testing,gmunozfe,In progress,,Runtimes,Major,,2026/Q3,L,8.0,6.0,2.0,18.8,18.2,2.2,,
98,7,https://github.com/serverlessworkflow/editor/issues/98,feat: Review and increase E2E test coverage,kumaradityaraj,Next,,Tooling,Minor,,1.0,S,0.2,,0.2,0.2,0.0,0.2,,
97,7,https://github.com/serverlessworkflow/editor/issues/97,feat: Increase unit test coverage across core modules,kumaradityaraj,Next,,Tooling,Minor,,1.0,S,0.2,,0.2,0.2,0.0,0.2,,
90,6,https://github.com/serverlessworkflow/editor/issues/90,feat: Write integrator documentation,fantonangeli,In review,,Tooling,Normal,,1.0,S,0.2,,0.2,0.2,0.0,0.2,,
79,5,https://github.com/serverlessworkflow/editor/issues/79,feat: Style start/end node components,kumaradityaraj,In review,,Tooling,Normal,,2026/Q2,S,0.2,,0.2,0.2,0.0,0.2,,
51,,https://github.com/quarkiverse/quarkus-flow/issues/51,epic: Integrate Serverless Workflow Editor into DevUI,lornakelly,Backlog,,Tooling,Major,,1.0,,,,,0.8,0.0,0.8,,
7,1,https://github.com/serverlessworkflow/editor/issues/7,"Epic: Hardening, testing, and user feedback incorporation",lornakelly,In progress,,Tooling,Major,,1.0,L,0.0,0.0,0.0,2.0,1.2,0.6,,
6,1,https://github.com/serverlessworkflow/editor/issues/6,"Epic: Packaging, release and integration ",lornakelly,In progress,,Tooling,Major,,1.0,L,0.0,0.0,0.0,3.0,1.7,0.4,,
5,1,https://github.com/serverlessworkflow/editor/issues/5,Epic: Render Workflows as Read-Only Diagrams,lornakelly,In progress,,Tooling,Major,,1.0,XL,0.0,0.0,0.0,21.1,17.8,1.2,,
3,1,https://github.com/serverlessworkflow/editor/issues/3,"Epic: Development Workflows, CI/CD, and Quality Gates",lornakelly,In progress,,Tooling,Major,,2026/Q2,L,0.0,0.0,0.0,5.5,2.3,0.2,,
1,,https://github.com/serverlessworkflow/editor/issues/1,Epic: Serverless Workflow Editor MVP,lornakelly,In progress,,Tooling,Major,,1.0,XL,0.0,0.0,0.0,40.8,31.8,2.4,,
