Issue Number,Parent Issue,Issue URL,Title,Assignees,Type,Area,Priority,Initiative,Version,Size,Estimate,Time Spent,Reporting Date,External Reference,Comments
1303,,https://github.com/serverlessworkflow/sdk-java/issues/1303,JsonQueryException when using FuncDSL.openapi,"mcruzdev,fjtirado",,Runtimes,Normal,,2026/Q1,S,0.2,0.3,2026-04-18,,
448,,https://github.com/quarkiverse/quarkus-flow/issues/448,Add Structured Logging Listener for Workflow Lifecycle Events,ricardozanini,,Runtimes,Normal,,2026/Q2,M,0.1,0.1,2026-04-18,,
458,,https://github.com/quarkiverse/quarkus-flow/issues/458,HTTP workflows hang: Missing ManagedExecutor integration for SDK's ExecutorServiceFactory,ricardozanini,,Runtimes,Blocker,,2026/Q2,S,0.1,0.1,2026-04-18,,
65,3,https://github.com/serverlessworkflow/editor/issues/65,feat: create a package.json validation CI,"lornakelly,fantonangeli",,Tooling,Normal,,2026/Q3,S,0.3,0.1,2026-04-18,,
1314,,https://github.com/serverlessworkflow/sdk-java/issues/1314,Make CloudEvent type constants in AbstractLifeCyclePublisher public,ricardozanini,,Runtimes,Normal,,2026/Q2,XS,0.1,0.1,2026-04-17,,
1317,,https://github.com/serverlessworkflow/sdk-java/issues/1317,Wrong field usage on FAult lifecycle cloud event,fjtirado,,Runtimes,Normal,,2026/Q2,S,0.2,0.2,2026-04-17,,
9,2,https://github.com/serverlessworkflow/editor/issues/9,Update readme with folder structure,lornakelly,,Tooling,Normal,,2026/Q2,S,0.1,0.1,2026-04-17,,
1315,,https://github.com/serverlessworkflow/sdk-java/issues/1315,NullPointer if Subflow is running wihtout specifiying input,fjtirado,,Runtimes,Normal,,2026/Q1,XS,0.1,0.1,2026-04-16,,
49,4,https://github.com/serverlessworkflow/editor/issues/49,feat: Add model to store as source of truth,lornakelly,,Tooling,Major,,2026/Q2,S,0.4,0.3,2026-04-16,,
22,3,https://github.com/serverlessworkflow/editor/issues/22,Run Playwright E2E tests in CI,kumaradityaraj,,Tooling,Normal,,2026/Q2,S,0.1,0.1,2026-04-15,,
367,,https://github.com/quarkiverse/quarkus-flow/issues/367,Standardize API mocking across the codebase by adopting a single library,mcruzdev,,Runtimes,Normal,,2026/Q2,S,0.4,0.4,2026-04-15,,
427,,https://github.com/quarkiverse/quarkus-flow/issues/427,bug: 404 on discussion page,mcruzdev,,Docs,Normal,,2026/Q2,S,0.2,0.2,2026-04-15,,
282,48,https://github.com/quarkiverse/quarkus-flow/issues/282,feat: add suspend/resume example with persistence enabled,fjtirado,,Docs,Normal,,2026/Q1,M,0.6,0.6,2026-04-14,,
400,,https://github.com/quarkiverse/quarkus-flow/issues/400,Workflow restarting without or with wrong started time,fjtirado,,Runtimes,Major,,2026/Q1,S,0.2,0.2,2026-04-14,,
433,,https://github.com/quarkiverse/quarkus-flow/issues/433,bug: JPA transaction not closed at scanAll,fjtirado,,Runtimes,Major,,2026/Q1,S,0.2,0.2,2026-04-14,,
48,4,https://github.com/quarkiverse/quarkus-flow/issues/48,epic: Persistence Integration Model,fjtirado,,Runtimes,Critical,,2026/Q1,L,0.0,0.0,2026-04-14,,
48,4,https://github.com/serverlessworkflow/editor/issues/48,Spike: Investigate SDK graph output for diagram model,"lornakelly,handreyrc",,Tooling,Major,,2026/Q2,M,0.4,0.7,2026-04-14,,
391,,https://github.com/quarkiverse/quarkus-flow/issues/391,bug: Durable workflows in devmode are timing out,ricardozanini,,Runtimes,Blocker,,2026/Q2,M,0.3,0.3,2026-04-13,,
1296,,https://github.com/serverlessworkflow/sdk-java/issues/1296,Prevent loading the same process instance twice,fjtirado,,Runtimes,Major,,2026/Q1,S,0.2,0.2,2026-04-11,,
15,2,https://github.com/serverlessworkflow/editor/issues/15,Add localization (i18n) support,kumaradityaraj,,Tooling,Normal,,2026/Q2,S,1.0,1.0,2026-04-11,,
30,3,https://github.com/serverlessworkflow/editor/issues/30,feat: Add GitHub Action to publish Storybook preview for every PR via Netlify,fantonangeli,,Tooling,Major,,2026/Q2,M,0.6,0.8,2026-04-11,,
444,,https://github.com/quarkiverse/quarkus-flow/issues/444,feat: Update Quarkus Flow in Quarkus Platform to 0.8.0.,baldimir,,Runtimes,Normal,,2026/Q2,S,0.2,0.2,2026-04-11,,
290,226,https://github.com/quarkiverse/quarkus-flow/issues/290,docs: Add documentation about how-to deal with data transformations in practice,mcruzdev,,Docs,Normal,,2026/Q1,S,0.4,0.4,2026-04-10,,
369,,https://github.com/quarkiverse/quarkus-flow/issues/369,Add a CONTRIBUTING.md file to guide new contributors,mcruzdev,,Docs,Normal,,2026/Q2,S,0.2,0.2,2026-04-10,,
373,,https://github.com/quarkiverse/quarkus-flow/issues/373,Prepare for Quarkus Insights,ricardozanini,,Runtimes,Normal,,2026/Q2,M,0.2,0.2,2026-04-10,,
396,,https://github.com/quarkiverse/quarkus-flow/issues/396,Flaky test on FlowAgentServicesFailedTest and FlowPlannerSessionsConcurrencyTest,mcruzdev,,CI,Normal,,2026/Q2,S,0.2,0.2,2026-04-10,,
1292,,https://github.com/serverlessworkflow/sdk-java/issues/1292,WriteInstant write seconds when it should write milliseconds,fjtirado,,Runtimes,Major,,2026/Q1,XS,0.2,0.2,2026-04-09,,
16,2,https://github.com/serverlessworkflow/editor/issues/16,Set up context and global context provider component for state management,handreyrc,,Tooling,Major,,2026/Q2,S,0.7,0.8,2026-04-09,,
421,,https://github.com/quarkiverse/quarkus-flow/issues/421,FlowSchedulerTest fails intermittently due to sub-second interval limitation,ricardozanini,,Runtimes,Blocker,,2026/Q2,XS,0.1,0.1,2026-04-09,,
